logTP,fit,se,lwr,upr,LM,JB,DR,TSI
4.480712253,3.715199325,0.034171951,3.658934315,3.771464334,39.11734266,56.37479372,48.25753857,57.42915236
4.490712253,3.724271944,0.03425267,3.667874029,3.78066986,39.63403946,57.20390348,48.96188094,58.26735892
4.500712253,3.733279133,0.034339762,3.676737818,3.789820449,40.15756125,58.04520704,49.67650353,59.11779952
4.510712253,3.74222105,0.034433506,3.685525383,3.798916717,40.68799819,58.89888374,50.40155639,59.9806527
4.520712253,3.751097858,0.034534172,3.694236441,3.807959274,41.22544161,59.76511555,51.13719175,60.85609966
4.530712253,3.759909726,0.034642022,3.702870731,3.816948721,41.76998406,60.64408712,51.88356406,61.74432419
4.540712253,3.768656829,0.034757312,3.711428007,3.825885652,42.32171932,61.5359858,52.64083005,62.64551279
4.550712253,3.777339348,0.034880286,3.719908046,3.834770651,42.88074239,62.44100174,53.4091487,63.55985468
4.560712253,3.785957468,0.035011179,3.728310646,3.84360429,43.44714953,63.35932783,54.18868134,64.48754183
4.570712253,3.79451138,0.035150217,3.736635628,3.852387131,44.02103829,64.29115984,54.97959164,65.42876904
4.580712253,3.803001278,0.035297613,3.744882836,3.86111972,44.60250748,65.23669639,55.78204566,66.38373391
4.590712253,3.811427363,0.035453569,3.753052135,3.869802591,45.19165724,66.19613905,56.59621189,67.35263697
4.600712253,3.819789841,0.035618275,3.76114342,3.878436262,45.78858901,67.16969232,57.42226128,68.33568164
4.610712253,3.828088921,0.035791908,3.769156608,3.887021233,46.39340559,68.15756375,58.26036726,69.33307432
